Family,Sub-Family,Solution Capability,Capability Narrative (Paramified),Capability Narrative (Plain Text),Responsible Role,Integrator Role,Integrator Responsibility (Paramified),Integrator Responsibility (Plain Text),End User Role,End User Responsibility (Paramified),End User Responsibility (Plain Text),Implementation Status,Stack Inheritable,Provider Origination,Integrator Origination,End User Origination,Main Component,Target Date,Target Date Remarks,Target Date Remarks (Plain Text),Suggested Mappings,Applicable Products,Applicable Collections,Stack,Reviewed By,Reviewed By Email,Reviewed At,Reviewer Notes,Approval Status,Reviewers,Evidences
Network Operations,Wireless Access Points,Authorized Wireless Access Points:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust controls to prevent unauthorized wireless access points from connecting to the network.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust controls to prevent unauthorized wireless access points from connecting to the network.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.1.16_smt.a+NIST_800_171_REV_2
3.1.16_smt.b+NIST_800_171_REV_2
3.1.17_smt.a+NIST_800_171_REV_2
3.1.17_smt.b+NIST_800_171_REV_2
ac-18.1_smt+NIST_800_53_REV_4
ac-18.1_smt+NIST_800_53_REV_5
ac-18.3_smt+NIST_800_53_REV_4
ac-18.3_smt+NIST_800_53_REV_5
ac-18.4_smt+NIST_800_53_REV_4
ac-18.4_smt+NIST_800_53_REV_5
ac-18.5_smt+NIST_800_53_REV_4
ac-18.5_smt+NIST_800_53_REV_5
ac-18_smt.a+NIST_800_53_REV_4
ac-18_smt.a+NIST_800_53_REV_5
ac-18_smt.b+NIST_800_53_REV_4
ac-18_smt.b+NIST_800_53_REV_5
si-4.14_smt+NIST_800_53_REV_4
si-4.14_smt+NIST_800_53_REV_5
si-4.15_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,Infrastructure Design,Unauthorized Code Execution Protection:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform with built-in system security features such as code execution protection.""}]}]","#THIS SYSTEM uses @unknown, a #PROGRAM TYPE-compliant cloud platform with built-in system security features such as code execution protection.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"CFM-04_smt+ADOBE_CCF_OS_V5
si-16_smt+NIST_800_53_REV_4
si-16_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Third-Party Management,Supply Chain Risk Management,Supply Chain Risk Management,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Vendor Risk Management Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" is responsible for managing the development, documentation and implementation of the ""},{""type"":""mention"",""value"":""Supply Chain Risk Management Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @GRC Admin is responsible for managing the development, documentation and implementation of the @Supply Chain Risk Management Plan.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Supply Chain Risk Management Plan,,,,"pl-8.2_smt+NIST_800_53_REV_5
sa-21_smt.a+NIST_800_53_REV_5
sa-21_smt.b+NIST_800_53_REV_5
sr-2.1_smt+NIST_800_53_REV_5
sr-3.1_smt+NIST_800_53_REV_5
sr-4_smt+NIST_800_53_REV_5
sr-5.1_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Incident Response,Incident Triage,Incident Identification,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" personnel report suspected or actual security incidents to the ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" also detects potential incidents from sources, including:""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":""""}]},{""type"":""li"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" Vulnerability Scans""}]},{""type"":""li"",""children"":[{""text"":""US-CERT""}]},{""type"":""li"",""children"":[{""text"":""Vendor bulletins and reports""}]}]},{""type"":""p"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""Security Operations Center Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" flags events for the ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to review. The ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" creates an incident in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" after confirming the event is a security incident. The ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" analyzes and remediates the incident, documenting each step in the ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" until it is resolved.""}]}]","#THIS ORGANIZATION personnel report suspected or actual security incidents to the @Incident Response Admin. #THIS ORGANIZATION also detects potential incidents from sources, including:
@unknown
@unknown Vulnerability Scans
US-CERT
Vendor bulletins and reports

@InfoSec Admin flags events for the @Incident Response Admin to review. The @Incident Response Admin creates an incident in @unknown after confirming the event is a security incident. The @Incident Response Admin analyzes and remediates the incident, documenting each step in the @unknown until it is resolved.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Incident Response Process,,,,"3.11.2e_smt.c+NIST_800_172_REV_2
3.11.6e_smt.c+NIST_800_172_REV_2
ir-4.13_smt+NIST_800_53_REV_5
ir-4.5_smt+NIST_800_53_REV_5
ir-6.1_smt+NIST_800_53_REV_4
ir-6.1_smt+NIST_800_53_REV_5
ir-6.2_smt+NIST_800_53_REV_4
ir-6.2_smt+NIST_800_53_REV_5
mla-03_smt+KSI_PHASE_1
ra-10_smt.a+NIST_800_53_REV_5
si-4.24_smt+NIST_800_53_REV_4
si-4.24_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
People Resources,Personnel Security,Workforce Onboarding,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" personnel must complete the ""},{""type"":""mention"",""value"":""Onboarding Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" governed by the ""},{""type"":""mention"",""value"":""HR Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" before accessing ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS ORGANIZATION personnel must complete the @Onboarding Process governed by the @HR Admin via @unknown before accessing #THIS SYSTEM.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_CORPORATE,,,Onboarding Process,,,,"ia-5_smt.d+NIST_800_53_REV_4
ia-5_smt.d+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Data Security Monitoring,Security Event Notifications:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" can be contacted via email and receives alerts from ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @Change Control Board can be contacted via email and receives alerts from @unknown and @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.14.7_smt.b+NIST_800_171_REV_2
3.3.3_smt.a+NIST_800_171_REV_2
3.6.1e_smt.b+NIST_800_172_REV_2
SM-25_smt+ADOBE_CCF_OS_V5
ac-2.12_smt.b+NIST_800_53_REV_4
ac-2.12_smt.b+NIST_800_53_REV_5
at-2.6_smt.b+NIST_800_53_REV_5
au-6_smt.a+NIST_800_53_REV_4
au-6_smt.a+NIST_800_53_REV_5
au-6_smt.b+NIST_800_53_REV_4
au-6_smt.b+NIST_800_53_REV_5
au-7_smt.a+NIST_800_53_REV_4
au-7_smt.a+NIST_800_53_REV_5
ca-7.6_smt+NIST_800_53_REV_5
cm-11.1_smt+NIST_800_53_REV_4
cm-11_smt.c+NIST_800_53_REV_4
cm-11_smt.c+NIST_800_53_REV_5
cm-7.1_smt.b+NIST_800_53_REV_4
cm-7.1_smt.b+NIST_800_53_REV_5
cm-8.3_smt.a+NIST_800_53_REV_5
ir-5_smt+NIST_800_53_REV_4
ir-5_smt+NIST_800_53_REV_5
ir-6_smt.a+NIST_800_53_REV_4
ir-6_smt.a+NIST_800_53_REV_5
ma-4.1_smt.b+NIST_800_53_REV_5
ra-10_smt.b+NIST_800_53_REV_5
ra-3.3_smt+NIST_800_53_REV_5
sc-7.9_smt.a+NIST_800_53_REV_5
si-4.24_smt+NIST_800_53_REV_4
si-4.24_smt+NIST_800_53_REV_5
si-4.4_smt+NIST_800_53_REV_4
si-4.4_smt.a+NIST_800_53_REV_5
si-4.4_smt.b+NIST_800_53_REV_5
si-4_smt.g+NIST_800_53_REV_4
si-4_smt.g+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Training and Awareness,Role Based Training,Contingency Plan Training,"[{""type"":""p"",""children"":[{""text"":""Within 10 days of assignment, ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" staff assigned to contingency planning and operations receive role-specific training through review of the ""},{""type"":""mention"",""value"":""Contingency Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". This training is updated and documented annually, or when contingency events dictate a revision of content.""}]}]","Within 10 days of assignment, #THIS ORGANIZATION staff assigned to contingency planning and operations receive role-specific training through review of the @Contingency Plan. This training is updated and documented annually, or when contingency events dictate a revision of content.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Contingency Plan,,,,"at-3.1_smt+NIST_800_53_REV_5
cp-3.1_smt+NIST_800_53_REV_4
cp-3.1_smt+NIST_800_53_REV_5
cp-3_smt+NIST_800_53_REV_4
cp-3_smt.a+NIST_800_53_REV_5
cp-3_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Incident Response,Coordination with External Parties,External Communication of Incidents,"[{""type"":""p"",""children"":[{""text"":""After formally discovering and documenting an incident within ticket in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", the ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" communicates updates and remediation actions to""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Operations Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"",""}]},{""type"":""li"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Customer Success Engineer:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"",""}]},{""type"":""li"",""children"":[{""text"":""The affected external organizations, and""}]},{""type"":""li"",""children"":[{""text"":""US-CERT (For Federal Systems).""}]}]},{""type"":""p"",""children"":[{""text"":""All stakeholders are notified via email and collaborate with the ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to resolve the issue.""}]}]","After formally discovering and documenting an incident within ticket in @unknown, the @Incident Response Admin communicates updates and remediation actions to
The @Operations Admin,
The @Customer Success Engineer,
The affected external organizations, and
US-CERT (For Federal Systems).

All stakeholders are notified via email and collaborate with the @Incident Response Admin to resolve the issue.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Incident Response Process,,,,"3.6.2_smt.c+NIST_800_171_REV_2
3.6.2_smt.d+NIST_800_171_REV_2
3.6.2_smt.e+NIST_800_171_REV_2
3.6.2_smt.f+NIST_800_171_REV_2
IR-06_smt+ADOBE_CCF_OS_V5
au-16.2_smt+NIST_800_53_REV_5
au-16_smt+NIST_800_53_REV_5
inr-01_smt+KSI_PHASE_1
ir-4.10_smt+NIST_800_53_REV_5
ir-4.8_smt+NIST_800_53_REV_4
ir-4.8_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Session Management,Administrative Session:,"[{""type"":""p"",""children"":[{""text"":""Authorized administrators to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" are found within authorized ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" groups. The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" uses ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to sync ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" with user information on ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Authorized administrators to #THIS SYSTEM are found within authorized @unknown groups. The @Change Control Board uses @unknown to sync @unknown with user information on @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"IAM-23_smt+ADOBE_CCF_OS_V5
ac-17.2_smt+NIST_800_53_REV_4
ac-17.2_smt+NIST_800_53_REV_5
ac-17.4_smt.b+NIST_800_53_REV_4
ac-17.4_smt.b+NIST_800_53_REV_5
ac-17_smt.a+NIST_800_53_REV_4
ac-17_smt.a+NIST_800_53_REV_5
ac-2_smt.d+NIST_800_53_REV_4
ac-2_smt.d+NIST_800_53_REV_5
au-14.3_smt+NIST_800_53_REV_5
au-14_smt.a+NIST_800_53_REV_5
iam-05_smt+KSI_PHASE_1
pe-17_smt.a+NIST_800_53_REV_4
pe-17_smt.b+NIST_800_53_REV_5
pe-17_smt.c+NIST_800_53_REV_4
pe-17_smt.d+NIST_800_53_REV_5
sc-23_smt+NIST_800_53_REV_4
sc-23_smt+NIST_800_53_REV_5
sc-7.7_smt+NIST_800_53_REV_4
sc-7.7_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
People Resources,Personnel Security,Post-employment requirements notice,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""HR Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" notifies employees of post-employment requirements for protecting organizational information via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", for terminated employees.""}]}]","The @HR Admin notifies employees of post-employment requirements for protecting organizational information via @unknown, for terminated employees.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_CORPORATE,,,Offboarding Process,,,,"ps-4.1_smt.a+NIST_800_53_REV_4
ps-4.1_smt.a+NIST_800_53_REV_5
ps-6.3_smt.a+NIST_800_53_REV_4
ps-6.3_smt.a+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Configuration,Default Admin Accounts Passwords:,"[{""type"":""p"",""children"":[{""text"":""Authentication for accessing ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" is managed through ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", with the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" monitoring security configurations through ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Authentication for accessing #THIS SYSTEM is managed through @unknown, with the @Change Control Board monitoring security configurations through @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"CFM-11_smt+ADOBE_CCF_OS_V5
ia-5_smt.e+NIST_800_53_REV_4
ia-5_smt.e+NIST_800_53_REV_5
sa-8.23_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Training and Awareness,Role Based Training,Incident Response Plan Training,"[{""type"":""p"",""children"":[{""text"":""New ""},{""type"":""mention"",""value"":""Incident Response Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" with Incident Response responsibilities review the ""},{""type"":""mention"",""value"":""Incident Response Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and receive training within 30 days of assuming their role. All incident response personnel receive annual training, with training done via tabletop exercises. Managers ensure no untrained staff are placed in Incident Response roles and attendance is tracked manually. This training is updated and documented annually, or when events dictate a revision of content.""}]}]","New @Incident Response Admin with Incident Response responsibilities review the @Incident Response Plan and receive training within 30 days of assuming their role. All incident response personnel receive annual training, with training done via tabletop exercises. Managers ensure no untrained staff are placed in Incident Response roles and attendance is tracked manually. This training is updated and documented annually, or when events dictate a revision of content.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Incident Response Plan,,,,"ir-2.2_smt+NIST_800_53_REV_4
ir-2.2_smt+NIST_800_53_REV_5
ir-2_smt.a+NIST_800_53_REV_4
ir-2_smt.a+NIST_800_53_REV_5
ir-2_smt.b+NIST_800_53_REV_4
ir-2_smt.b+NIST_800_53_REV_5
ir-2_smt.c+NIST_800_53_REV_4",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Authentication,SSH Access:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" limits admin access to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" to authorized devices with valid SSH keys via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". SSH sessions:""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""require MFA ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which is configured in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", and""}]},{""type"":""li"",""children"":[{""text"":""trigger an alert in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" which is sent to the ""},{""type"":""mention"",""value"":""InfoSec Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]}]","The @Change Control Board limits admin access to #THIS SYSTEM to authorized devices with valid SSH keys via @unknown. SSH sessions:
require MFA @unknown, which is configured in @unknown, and
trigger an alert in @unknown which is sent to the @InfoSec Admin.

",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.13_smt.b+NIST_800_171_REV_2
IAM-02_smt+ADOBE_CCF_OS_V5
ac-17.10_smt+NIST_800_53_REV_5
ac-2.11_smt+NIST_800_53_REV_4
ac-2.11_smt+NIST_800_53_REV_5
iam-05_smt+KSI_PHASE_1
sc-23.1_smt+NIST_800_53_REV_4
sc-23.1_smt+NIST_800_53_REV_5
sc-23.3_smt+NIST_800_53_REV_4
sc-23.3_smt+NIST_800_53_REV_5
sc-23_smt+NIST_800_53_REV_4
sc-23_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Network Operations,Security Architecture,Logical Isolation:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" uses logically segregated system components to prevent unintended information transfer via shared system resources. Authorized administrators access corporate resources via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which syncs ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" account data  and access permissions. ""}]},{""type"":""p"",""children"":[{""text"":""End user access is limited and data passes through front-end webservers. Customer licenses are registered to their organization and a customer administrator controls access. User access is restricted to organization data, which is encrypted in transit and at rest.""}]}]","#THIS ORGANIZATION uses logically segregated system components to prevent unintended information transfer via shared system resources. Authorized administrators access corporate resources via @unknown, which syncs @unknown and @unknown account data  and access permissions. 
End user access is limited and data passes through front-end webservers. Customer licenses are registered to their organization and a customer administrator controls access. User access is restricted to organization data, which is encrypted in transit and at rest.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.13.2_smt.a+NIST_800_171_REV_2
3.13.2_smt.d+NIST_800_171_REV_2
3.13.3_smt.a+NIST_800_171_REV_2
3.13.3_smt.b+NIST_800_171_REV_2
3.13.3_smt.c+NIST_800_171_REV_2
3.13.5_smt.a+NIST_800_171_REV_2
CFM-12_smt+ADOBE_CCF_OS_V5
ac-23_smt+NIST_800_53_REV_5
ac-4.21_smt+NIST_800_53_REV_4
ac-4.21_smt+NIST_800_53_REV_5
ac-4.8_smt+NIST_800_53_REV_4
ac-4.8_smt.a+NIST_800_53_REV_5
ac-4.8_smt.b+NIST_800_53_REV_5
ac-4_smt+NIST_800_53_REV_4
ac-4_smt+NIST_800_53_REV_5
gr-10_dod_smt+DOD_GR
gr-4_dod_smt+DOD_GR
gr-9_dod_smt+DOD_GR
iam-05_smt+KSI_PHASE_1
ma-4.4_smt.b+NIST_800_53_REV_5
pl-8.1_smt.a+NIST_800_53_REV_4
pl-8.1_smt.a+NIST_800_53_REV_5
pl-8.1_smt.b+NIST_800_53_REV_4
pl-8.1_smt.b+NIST_800_53_REV_5
pl-8_smt.a+NIST_800_53_REV_4
pl-8_smt.a+NIST_800_53_REV_5
sa-8.12_smt+NIST_800_53_REV_5
sa-8.2_smt+NIST_800_53_REV_5
sa-8.6_smt+NIST_800_53_REV_5
sc-2_smt+NIST_800_53_REV_4
sc-2_smt+NIST_800_53_REV_5
sc-46_smt+NIST_800_53_REV_5
sc-4_smt+NIST_800_53_REV_4
sc-4_smt+NIST_800_53_REV_5
sc-7.13_smt+NIST_800_53_REV_4
sc-7.13_smt+NIST_800_53_REV_5
sc-7.20_smt+NIST_800_53_REV_4
sc-7.20_smt+NIST_800_53_REV_5
sc-7.29_smt+NIST_800_53_REV_5
sc-7.4_smt.b+NIST_800_53_REV_4
sc-7.4_smt.b+NIST_800_53_REV_5
sc-7_smt.a+NIST_800_53_REV_4
sc-7_smt.a+NIST_800_53_REV_5
sc-7_smt.b+NIST_800_53_REV_4
sc-7_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Data Center Protection,Secured Facility:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" utilizes ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform that provides physical and environmental protection of data centers and assets contained therein.""}]}]","#THIS SYSTEM utilizes @unknown, a #PROGRAM TYPE-compliant cloud platform that provides physical and environmental protection of data centers and assets contained therein.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.10.2_smt.b+NIST_800_171_REV_2
3.13.8_smt.b+NIST_800_171_REV_2
3.13.8_smt.c+NIST_800_171_REV_2
SO-01_smt+ADOBE_CCF_OS_V5
pe-18_smt+NIST_800_53_REV_4
pe-18_smt+NIST_800_53_REV_5
pe-3.1_smt+NIST_800_53_REV_4
pe-3.1_smt+NIST_800_53_REV_5
pe-3_smt.a+NIST_800_53_REV_4
pe-3_smt.a+NIST_800_53_REV_5
pe-3_smt.c+NIST_800_53_REV_4
pe-3_smt.c+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,Infrastructure Design,Operating System Security:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" ensures instances are configured to meet ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" conformance pack in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Non-compliance is reported via ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Non-compliant configurations are tracked for resolution and remediated in ""},{""type"":""mention"",""value"":""Change Management Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @Change Control Board ensures instances are configured to meet @unknown conformance pack in @unknown. Non-compliance is reported via @unknown. Non-compliant configurations are tracked for resolution and remediated in @Change Management Process.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ac-4_smt+NIST_800_53_REV_4
ac-4_smt+NIST_800_53_REV_5
sc-39_smt+NIST_800_53_REV_4
sc-39_smt+NIST_800_53_REV_5
sc-3_smt+NIST_800_53_REV_4
sc-3_smt+NIST_800_53_REV_5
sc-6_smt+NIST_800_53_REV_4
sc-6_smt+NIST_800_53_REV_5
si-7.10_smt+NIST_800_53_REV_5
si-7.9_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Vulnerability Management,Vulnerability Remediation,Patch Management,"[{""type"":""p"",""children"":[{""text"":""Automated patching of ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" infrastructure is configured by the ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Approved patches are deployed during the next scheduled maintenance window.""}]}]","Automated patching of #THIS SYSTEM infrastructure is configured by the @DevOps Admin using @unknown. Approved patches are deployed during the next scheduled maintenance window.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Patch Management Process,,,,"VM-08_smt+ADOBE_CCF_OS_V5
ma-3.6_smt+NIST_800_53_REV_5
si-2.4_smt+NIST_800_53_REV_5
si-2_smt.b+NIST_800_53_REV_4
si-2_smt.b+NIST_800_53_REV_5
si-2_smt.c+NIST_800_53_REV_4
si-2_smt.c+NIST_800_53_REV_5
si-2_smt.d+NIST_800_53_REV_4
si-2_smt.d+NIST_800_53_REV_5
svc-07_smt+KSI_PHASE_1",,All Jake's Test Offerings,,,,,,NOT_SET,,
